from	to
Yolida eightsi	Ophiosparte gigas
Yolida eightsi	Barrukia cristata
Yolida eightsi	Trematomus pennellii
Yolida eightsi	Notocrangon antarcticus
Yolida eightsi	Chorismus antarcticus
Yolida eightsi	Diplasterias brucei
Yolida eightsi	Odontaster validus
Yolida eightsi	Ophionotus victoriae
Yolida eightsi	Neobuccinum eatoni
Yolida eightsi	Notothenia coriiceps
Yolida eightsi	Labidiaster annulatus
Yolida eightsi	Eunoe spica spicoides
Yolida eightsi	Harpagifer antarcticus
Yolida eightsi	Trematomus bernacchii
Probuccinum tenuistriatum	Austrocidaris canaliculata
Probuccinum tenuistriatum	Colossendeis scotti
Probuccinum tenuistriatum	Artedidraco skottsbergi
Probuccinum tenuistriatum	Artedidraco loennbergi
Probuccinum tenuistriatum	Nymphon gracillimum
Probuccinum tenuistriatum	Ammothea carolinensis
Probuccinum tenuistriatum	Dolloidraco longedorsalis
Probuccinum tenuistriatum	Macroptychaster accrescens
Probuccinum tenuistriatum	Ophiosparte gigas
Probuccinum tenuistriatum	Trematomus nicolai
Probuccinum tenuistriatum	Trematomus lepidorhinus
Probuccinum tenuistriatum	Pentanymphon antarcticum
Probuccinum tenuistriatum	Harmothoe spinosa
Probuccinum tenuistriatum	Trematomus pennellii
Probuccinum tenuistriatum	Notocrangon antarcticus
Probuccinum tenuistriatum	Chorismus antarcticus
Probuccinum tenuistriatum	Diplasterias brucei
Probuccinum tenuistriatum	Trematomus loennbergii
Probuccinum tenuistriatum	Odontaster validus
Probuccinum tenuistriatum	Glyptonotus antarcticus
Probuccinum tenuistriatum	Notothenia coriiceps
Probuccinum tenuistriatum	Trematomus scotti
Probuccinum tenuistriatum	Labidiaster annulatus
Probuccinum tenuistriatum	Eunoe spica spicoides
Probuccinum tenuistriatum	Harpagifer antarcticus
Probuccinum tenuistriatum	Trematomus bernacchii
Marginella ealesa	Austrocidaris canaliculata
Marginella ealesa	Colossendeis scotti
Marginella ealesa	Artedidraco skottsbergi
Marginella ealesa	Artedidraco loennbergi
Marginella ealesa	Nymphon gracillimum
Marginella ealesa	Ammothea carolinensis
Marginella ealesa	Dolloidraco longedorsalis
Marginella ealesa	Macroptychaster accrescens
Marginella ealesa	Ophiosparte gigas
Marginella ealesa	Trematomus nicolai
Marginella ealesa	Trematomus lepidorhinus
Marginella ealesa	Pentanymphon antarcticum
Marginella ealesa	Harmothoe spinosa
Marginella ealesa	Trematomus pennellii
Marginella ealesa	Notocrangon antarcticus
Marginella ealesa	Chorismus antarcticus
Marginella ealesa	Diplasterias brucei
Marginella ealesa	Trematomus loennbergii
Marginella ealesa	Odontaster validus
Marginella ealesa	Glyptonotus antarcticus
Marginella ealesa	Notothenia coriiceps
Marginella ealesa	Trematomus scotti
Marginella ealesa	Labidiaster annulatus
Marginella ealesa	Eunoe spica spicoides
Marginella ealesa	Harpagifer antarcticus
Marginella ealesa	Trematomus bernacchii
Falsimargarita gemma	Austrocidaris canaliculata
Falsimargarita gemma	Colossendeis scotti
Falsimargarita gemma	Artedidraco skottsbergi
Falsimargarita gemma	Artedidraco loennbergi
Falsimargarita gemma	Nymphon gracillimum
Falsimargarita gemma	Ammothea carolinensis
Falsimargarita gemma	Dolloidraco longedorsalis
Falsimargarita gemma	Macroptychaster accrescens
Falsimargarita gemma	Ophiosparte gigas
Falsimargarita gemma	Trematomus nicolai
